SRR11041080.2178_2178_length=300	839__D5EY79__PRU_2798
SRR11041080.32134_32134_length=244	1747__W4TPW0__HMPREF9205_0525
SRR11041080.34798_34798_length=301	839__D5EX80__SAMN04488494_1640
SRR11041080.36443_36443_length=247	839__D5ETB9__SAMN04488493_10398
SRR11041080.38905_38905_length=264	839__A0A1M7MBU1__SAMN02745192_0146
SRR11041080.48325_48325_length=300	1520830__A0A1K1PAU9__SAMN02910409_2359
SRR11041080.49257_49257_length=301	971__A0A1H0PXT8__SAMN05216366_10640
SRR11041080.50560_50560_length=301	1855373__A0A1G7UCG8__SAMN05216518_13232
SRR11041080.52099_52099_length=300	1761888__A0A1H4A0I6__SAMN04487851_104165
SRR11041080.53322_53322_length=300	839__D5ETK5__SAMN02745192_0517
SRR11041080.54217_54217_length=300	839__D5ETG3__SAMN04488494_1393
SRR11041080.59513_59513_length=300	839__D5EU64__SAMN05216462_1638
SRR11041080.60396_60396_length=300	1124982__I0XA38__MSI_9350
SRR11041080.60423_60423_length=301	1520801__A0A1H4G147__SAMN02910384_03133
SRR11041080.60975_60975_length=277	839__D5EW68__PRU_0231
SRR11041080.68428_68428_length=256	839__D5EX59__SAMN04488493_101321
SRR11041080.75285_75285_length=300	839__D5EX73__PRU_2567
SRR11041080.82967_82967_length=301	839__D5EVU7__SAMN02745192_2075
SRR11041080.86544_86544_length=300	2014542__A0A220SSC6__CEK62_19860
SRR11041080.90383_90383_length=301	77095__D8DTI3__SAMN05444375_10395
SRR11041080.90563_90563_length=300	77095__D8E096__SAMN05444375_11261
SRR11041080.92003_92003_length=296	839__D5ET16__SAMN05216462_2041
SRR11041080.93697_93697_length=301	1761887__A0A1H8CHH1__SAMN04487902_105119
SRR11041080.93776_93776_length=301	2024224__A0A255TBT6__CIK98_13245
SRR11041080.94131_94131_length=209	1520830__A0A1K1PAU9__SAMN02910409_2359
SRR11041080.95024_95024_length=301	839__D5ETJ1__SAMN04488493_10331
SRR11041080.99482_99482_length=301	839__D5ETB9__SAMN04488493_10398
SRR11041080.107614_107614_length=301	1520828__A0A1G4VQ50__SAMN02910339_01481
SRR11041080.108655_108655_length=301	77095__D8DYK3__SAMN04487899_11042
SRR11041080.111741_111741_length=301	2024224__A0A255TBT6__CIK98_13245
SRR11041080.111764_111764_length=301	77095__A0A255SKC0__PBR_1964
SRR11041080.112459_112459_length=301	1747__A0A085B5F9__CHT94_04710
SRR11041080.114798_114798_length=300	839__A0A1H6KGC0__SAMN05216462_0971
SRR11041080.116693_116693_length=300	77095__D8DTU9__hemC
SRR11041080.127126_127126_length=282	839__A0A1H1AVU2__PRU_2307
SRR11041080.129996_129996_length=301	81582__A0A1I0N5A6__SAMN04487850_0942
SRR11041080.134136_134136_length=300	839__D5ETK7__SAMN04488493_10316
SRR11041080.138249_138249_length=189	1943579__A0A1S9BRN0__BXO88_14855
SRR11041080.144734_144734_length=300	839__D5ETG6__SAMN02745192_0558
SRR11041080.146981_146981_length=301	1747__W4TX81__CGS47_01365
SRR11041080.158875_158875_length=301	839__D5EST2__SAMN04488494_1073
SRR11041080.158900_158900_length=301	77095__D8E096__SAMN05444375_11261
SRR11041080.160525_160525_length=300	839__A0A1H6KGC0__SAMN05216462_0971
SRR11041080.163021_163021_length=300	77095__D8DTI7__SAMN05216455_10585
SRR11041080.164946_164946_length=280	839__A0A1H1CBW0__PRU_0607
SRR11041080.165730_165730_length=301	839__D5EV93__SAMN04488493_105141
SRR11041080.167014_167014_length=301	839__D5EVF1__SAMN04488494_2591
SRR11041080.169556_169556_length=301	839__D5ETG5__SAMN05216462_1948
SRR11041080.171527_171527_length=301	839__D5EY03__PRU_2716
SRR11041080.173065_173065_length=301	77095__A0A255SNY4__SAMN05216455_101251
SRR11041080.179494_179494_length=301	839__D5ERP8__SAMN05216462_1342
SRR11041080.180407_180407_length=245	839__D5EZC6__SAMN02745192_1286
SRR11041080.181711_181711_length=301	839__A0A1H6K9V8__SAMN04488493_102471
SRR11041080.183630_183630_length=252	839__D5EX19__SAMN04488494_2098
SRR11041080.184541_184541_length=194	839__D5ETK6__SAMN04488493_10317
SRR11041080.194280_194280_length=301	839__D5EY21__SAMN04488494_2360
SRR11041080.200838_200838_length=301	77095__A0A255SUC6__CIK91_06180
SRR11041080.202362_202362_length=300	2024224__A0A255TBT6__CIK98_13245
SRR11041080.206685_206685_length=300	839__D5EX98__PRU_2592
SRR11041080.212108_212108_length=301	77095__A0A1H9B9H6__SAMN04487899_101326
SRR11041080.213090_213090_length=278	77095__D8DTS2__PBR_1507
SRR11041080.213995_213995_length=241	839__D5ETG3__SAMN04488494_1393
SRR11041080.214251_214251_length=301	839__D5ERH0__SAMN04488493_102102
SRR11041080.223217_223217_length=196	77095__D8DWZ5__PBR_2223
SRR11041080.225334_225334_length=301	839__D5ET16__SAMN05216462_2041
SRR11041080.225369_225369_length=299	77095__D8DZQ0__SAMN05216455_102201
SRR11041080.226280_226280_length=301	839__D5EST2__SAMN04488494_1073
SRR11041080.228978_228978_length=301	839__D5EY25__SAMN02745192_1674
SRR11041080.232951_232951_length=301	77095__A0A255SQU8__PBR_1422
SRR11041080.233848_233848_length=229	77095__D8DUP8__CIK91_06800
SRR11041080.234446_234446_length=301	839__D5ETB9__SAMN04488493_10398
SRR11041080.235033_235033_length=301	839__A0A1H6LBN8__SAMN04488494_2365
SRR11041080.235835_235835_length=301	839__D5ETB9__SAMN04488493_10398
SRR11041080.236825_236825_length=301	839__D5EY28__SAMN04488493_101131
SRR11041080.236996_236996_length=198	839__A0A1H1A061__SAMN05216462_0197
SRR11041080.237293_237293_length=300	839__D5ETJ1__SAMN04488493_10331
SRR11041080.238457_238457_length=300	1379702__U6EE28__MBMB1_1515
SRR11041080.239300_239300_length=300	839__D5EUP5__PRU_2077
SRR11041080.244641_244641_length=300	839__A0A1H1AVU2__PRU_2307
SRR11041080.247620_247620_length=301	839__A0A1H6K7I9__PRU_1098
SRR11041080.249133_249133_length=215	1200749__A0A1G8VSQ6__SAMN04487760_11155
SRR11041080.251561_251561_length=279	77095__A0A255SJW7__SAMN05444375_10155
SRR11041080.254201_254201_length=301	112023__GeneID:1262605
SRR11041080.256336_256336_length=130	839__D5EUG9__dacB
SRR11041080.263584_263584_length=250	839__D5EY03__PRU_2716
SRR11041080.265472_265472_length=301	971__I0GLZ1__SAMN05216366_15112
SRR11041080.266409_266409_length=301	839__A0A1H6KGC0__SAMN05216462_0971
SRR11041080.268663_268663_length=301	839__D5ERH0__SAMN04488493_102102
SRR11041080.269255_269255_length=300	839__D5ETB9__SAMN04488493_10398
SRR11041080.269793_269793_length=301	839__A0A1H1CBW0__PRU_0607
SRR11041080.273845_273845_length=301	77095__D8DTC0__SAMN05444375_10245
SRR11041080.275024_275024_length=146	1855373__A0A1G7H6X7__SAMN05216518_101150
SRR11041080.277397_277397_length=300	1124982__I0XAA7__MSI_08260
SRR11041080.279257_279257_length=300	1747__W4TSK6__CP871_00555
SRR11041080.282144_282144_length=292	82374__A0A0B2JI49__SAMN02745671_02587
SRR11041080.282511_282511_length=301	839__D5EX13__SAMN05216462_2428
SRR11041080.285223_285223_length=301	839__D5ETJ1__SAMN04488493_10331
SRR11041080.288979_288979_length=191	1161942__csd_1
SRR11041080.292384_292384_length=300	839__A0A1M6T989__PRU_1699
SRR11041080.293197_293197_length=224	81582__A0A1I0NG59__SAMN04487850_1226
SRR11041080.299513_299513_length=301	77095__A0A1H9F9B2__SAMN05216455_10120
SRR11041080.300375_300375_length=301	77095__D8DZN1__PBR_0638
SRR11041080.304392_304392_length=301	2024224__A0A255TBT6__CIK98_13245
SRR11041080.305856_305856_length=300	1855343__A0A1I2T7Y1__SAMN05216356_1142
SRR11041080.317515_317515_length=179	77095__A0A1H9FE01__PBR_0147
SRR11041080.320942_320942_length=301	77095__A0A255SKC0__PBR_1964
SRR11041080.325545_325545_length=301	839__D5EY32__PRU_2748
SRR11041080.326027_326027_length=300	1520830__A0A1K1PAU9__SAMN02910409_2359
SRR11041080.328229_328229_length=301	839__D5EZB0__SAMN04488493_10276
SRR11041080.333241_333241_length=301	2024223__A0A255T1D1__CIL02_12545
SRR11041080.336154_336154_length=300	1747__W4U4S4__COH18_03965
SRR11041080.339413_339413_length=242	839__D5EX19__SAMN04488494_2098
SRR11041080.341940_341940_length=300	77095__A0A255SNP9__SAMN05444375_11827
SRR11041080.343205_343205_length=300	1747__A0A2B7I989__TIIST44_03075
SRR11041080.344278_344278_length=235	77095__A0A1H8YRV1__CIK91_13600
SRR11041080.345166_345166_length=300	839__D5ETB9__SAMN04488493_10398
SRR11041080.346908_346908_length=292	839__D5EVE0__SAMN04488493_10564
SRR11041080.352508_352508_length=301	839__D5ESK3__SAMN04488493_102459
SRR11041080.354224_354224_length=300	839__A0A1H6MI96__SAMN05216462_1370
SRR11041080.355155_355155_length=235	839__D5EUF4__PRU_1982
SRR11041080.356178_356178_length=301	839__D5EY25__SAMN02745192_1674
SRR11041080.356691_356691_length=301	81582__A0A1I0NUM0__SAMN04487850_1319
SRR11041080.359078_359078_length=301	77095__A0A1H9DZ81__SAMN04487899_10598
SRR11041080.359175_359175_length=301	1526__A0A1I6IHT6__SAMN02910262_00369
SRR11041080.361298_361298_length=301	839__D5ESM4__SAMN04488493_102481
SRR11041080.361467_361467_length=261	839__A0A1H1AVU2__PRU_2307
SRR11041080.369143_369143_length=293	839__D5EY76__SAMN04488494_3066
SRR11041080.369290_369290_length=300	839__D5EV79__SAMN04488493_101624
SRR11041080.370041_370041_length=301	77095__D8DSU7__PBR_1028
SRR11041080.374332_374332_length=300	839__D5ERU2__SAMN04488494_0665
SRR11041080.374474_374474_length=251	1124982__I0XBD1__MSI_03760
SRR11041080.375368_375368_length=301	839__D5EYX7__SAMN04488493_11926
SRR11041080.376447_376447_length=291	839__D5ETB9__SAMN04488493_10398
SRR11041080.378044_378044_length=300	839__D5ETG6__SAMN02745192_0558
SRR11041080.381088_381088_length=203	77095__A0A1H8YRV1__CIK91_13600
SRR11041080.381468_381468_length=301	839__D5ETG5__SAMN05216462_1948
SRR11041080.383030_383030_length=300	839__D5EUP5__PRU_2077
SRR11041080.383098_383098_length=301	77095__A0A1H9E0G5__SAMN05216455_10392
SRR11041080.383573_383573_length=190	1165092__W3APD6__UYO_1257
SRR11041080.383847_383847_length=256	839__D5EY02__SAMN04488493_101157
SRR11041080.384072_384072_length=243	839__D5EY36__SAMN02745192_1662
SRR11041080.389380_389380_length=301	77095__D8DXZ4__SAMN05216455_105164
SRR11041080.390576_390576_length=255	77095__D8DWF0__SAMN05216455_104201
SRR11041080.394331_394331_length=300	1265__A0A1H6KKR5__SAMN02910325_02583
SRR11041080.400701_400701_length=197	77095__D8DVK0__SAMN05444375_111118
SRR11041080.404722_404722_length=300	839__D5EW60__SAMN04488494_2266
SRR11041080.404788_404788_length=300	833__D9S8Z7__Fisuc_0578
SRR11041080.409917_409917_length=301	839__D5EXL8__SAMN02745192_2669
SRR11041080.411044_411044_length=300	77095__D8DV17__CIK91_06710
SRR11041080.414524_414524_length=255	1200749__A0A1G8SW69__SAMN04487760_10597
SRR11041080.414602_414602_length=301	1747__W4UH28__rnc
SRR11041080.417398_417398_length=300	77095__A0A255SU95__PBR_1439
SRR11041080.418480_418480_length=301	1855342__A0A1H4D0I1__SAMN05216349_12140
SRR11041080.419209_419209_length=299	839__D5EXG6__PRU_2662
SRR11041080.420545_420545_length=301	839__D5EW60__SAMN04488494_2266
SRR11041080.421200_421200_length=301	1270__A0A0X9G817__B8X03_00865
SRR11041080.421212_421212_length=300	839__D5EYB8__SAMN02745192_2846
SRR11041080.422564_422564_length=299	40214__D0S9H5__RZ95_09105
SRR11041080.424612_424612_length=301	839__D5ERU3__SAMN02745192_1189
SRR11041080.427765_427765_length=301	77095__A0A255SNY4__SAMN05216455_101251
SRR11041080.428131_428131_length=231	185007__D4J335__SAMN02910350_00669
SRR11041080.432234_432234_length=301	293939__A0A0S7DXK2__ALT_7486
SRR11041080.436503_436503_length=301	40841__A0A1I2DEX9__SAMN04487864_107128
SRR11041080.437069_437069_length=301	839__D5EVE1__PRU_0073
SRR11041080.437632_437632_length=136	77095__D8DUI4__CIK91_00690
SRR11041080.438953_438953_length=163	839__D5EVF1__SAMN04488494_2591
SRR11041080.447366_447366_length=300	1200749__A0A1G8PU78__SAMN04487760_101352
SRR11041080.448720_448720_length=281	839__D5ETY8__SAMN05216462_1720
SRR11041080.456987_456987_length=301	839__D5ETY9__SAMN04488494_1136
SRR11041080.456988_456988_length=300	839__D5EY03__PRU_2716
SRR11041080.457072_457072_length=301	1945891__A0A1T5J5N1__SAMN06298215_1045
SRR11041080.459595_459595_length=164	839__A0A1H6LBN8__SAMN04488494_2365
SRR11041080.459696_459696_length=301	1761887__A0A1H8CIE2__SAMN04487902_105121
SRR11041080.460516_460516_length=300	81582__A0A1I0PY26__SAMN04487850_2042
SRR11041080.463981_463981_length=190	839__D5EV79__SAMN04488493_101624
SRR11041080.464491_464491_length=300	839__D5EX80__SAMN04488494_1640
SRR11041080.469573_469573_length=300	839__D5EVE1__PRU_0073
SRR11041080.474567_474567_length=289	77095__D8DWF0__SAMN05216455_104201
SRR11041080.476242_476242_length=299	839__D5EY76__SAMN04488494_3066
SRR11041080.481195_481195_length=301	839__D5EX13__SAMN05216462_2428
SRR11041080.484044_484044_length=301	1945891__A0A1T5IDQ4__SAMN06298215_0438
SRR11041080.485172_485172_length=301	1896216__A0A1M6DHU5__SAMN05720471_10668
SRR11041080.486259_486259_length=300	2014542__A0A220SSC6__CEK62_19860
SRR11041080.490489_490489_length=300	1761887__A0A1H8DA92__SAMN04487902_10674
SRR11041080.491111_491111_length=257	2024224__A0A255TBT6__CIK98_13245
SRR11041080.493230_493230_length=300	1240085__A0A1X1Q2N4__D081_2351
SRR11041080.494262_494262_length=301	839__D5EYB8__SAMN02745192_2846
SRR11041080.495779_495779_length=301	185007__A0A1M6GKQ1__SAMN02910350_01621
SRR11041080.496513_496513_length=301	839__A0A1H1A061__SAMN05216462_0197
SRR11041080.497969_497969_length=300	1520801__A0A1H4AQP8__SAMN02910384_01385
SRR11041080.499722_499722_length=301	77095__D8E0G4__PBR_0789
SRR11041080.499801_499801_length=301	1896216__A0A1M6HEN8__SAMN05720471_1215
SRR11041080.504493_504493_length=290	839__D5EXG6__PRU_2662
SRR11041080.506870_506870_length=301	839__D5EVE0__SAMN04488493_10564
SRR11041080.506953_506953_length=301	1761887__A0A1H8CIE2__SAMN04487902_105121
SRR11041080.509861_509861_length=301	1520825__A0A1G5GGR7__SAMN02910370_02842
SRR11041080.509950_509950_length=301	2133944__A0A328PVZ6__C7Y71_00300
SRR11041080.512407_512407_length=300	1761900__A0A143ZR25__GA0004734_00048970
SRR11041080.513407_513407_length=300	1165092__W3APD6__UYO_1257
SRR11041080.516816_516816_length=301	1964356__A0A254S174__B7990_14065
SRR11041080.518737_518737_length=301	1855373__A0A1G7R8T3__SAMN05216518_1193
SRR11041080.519437_519437_length=300	77095__D8DZ45__SAMN05444375_11034
SRR11041080.522142_522142_length=301	839__D5EY03__PRU_2716
SRR11041080.524156_524156_length=267	163__A0A1I3N0K9__SAMN04487977_102434
SRR11041080.525183_525183_length=216	839__D5ESA7__SAMN02745192_1003
SRR11041080.529045_529045_length=301	839__D5ET16__SAMN05216462_2041
SRR11041080.529050_529050_length=299	1165092__W3APD6__UYO_1257
SRR11041080.532560_532560_length=301	77095__D8DXZ5__CIK91_06255
SRR11041080.533116_533116_length=301	839__D5EWG8__PRU_2446
SRR11041080.535591_535591_length=296	839__D5ESK3__SAMN04488493_102459
SRR11041080.535660_535660_length=301	77095__D8DZN9__SAMN04487899_103103
SRR11041080.535977_535977_length=301	77095__D8DTI3__SAMN05444375_10395
SRR11041080.537586_537586_length=207	81582__A0A1I0PM58__SAMN04487850_1861
SRR11041080.539410_539410_length=301	77095__A0A1H9F9B2__SAMN05216455_10120
SRR11041080.542128_542128_length=301	839__D5EWF8__SAMN05216462_0625
SRR11041080.542629_542629_length=301	1265__W7UWW3__SAMN02910280_0217
SRR11041080.545928_545928_length=301	839__D5EZ73__SAMN02745192_1228
SRR11041080.547196_547196_length=301	140626__A0A1H9UB23__SAMN02910414_02439
SRR11041080.549778_549778_length=300	81582__A0A1I0NG35__SAMN04487850_1224
SRR11041080.550718_550718_length=301	839__A0A1H6JDY1__SAMN04488493_10628
SRR11041080.553955_553955_length=301	839__A0A1H6K7I9__PRU_1098
SRR11041080.557452_557452_length=134	77095__D8E0G4__PBR_0789
SRR11041080.557951_557951_length=301	1200749__A0A1G8QJ13__SAMN04487760_10223
SRR11041080.569785_569785_length=300	1747__W4TXU4__HMPREF9614_01238
SRR11041080.573458_573458_length=200	1747__W4TQS5__ALW21_05110
SRR11041080.586778_586778_length=300	1747__W4TPW0__HMPREF9205_0525
SRR11041080.591002_591002_length=301	839__D5EWM9__SAMN02745192_1912
SRR11041080.594234_594234_length=301	839__D5ESD3__SAMN04488493_102375
SRR11041080.600968_600968_length=301	293939__A0A0S7DXK2__ALT_7486
SRR11041080.603221_603221_length=121	1761888__A0A1H3ZZX2__SAMN04487851_104168
SRR11041080.603557_603557_length=299	839__D5EY28__SAMN04488493_101131
SRR11041080.612690_612690_length=301	839__D5EX63__SAMN05216462_0501
SRR11041080.619016_619016_length=300	293939__A0A0S7DXK2__ALT_7486
SRR11041080.619595_619595_length=301	839__D5ET16__SAMN05216462_2041
SRR11041080.622103_622103_length=301	839__D5EX19__SAMN04488494_2098
SRR11041080.622599_622599_length=300	839__D5EUP5__PRU_2077
SRR11041080.625794_625794_length=300	1761887__A0A1H8DA92__SAMN04487902_10674
SRR11041080.630232_630232_length=301	1964356__A0A254S3L1__B7990_14385
SRR11041080.630508_630508_length=301	1855373__A0A1G7UCG8__SAMN05216518_13232
SRR11041080.635791_635791_length=301	839__D5ERU2__SAMN04488494_0665
SRR11041080.637681_637681_length=301	81582__A0A1I0PF03__SAMN04487850_1706
SRR11041080.638585_638585_length=301	1964352__A0A254REF2__B7994_09320
SRR11041080.639282_639282_length=300	77095__D8DTM6__SAMN05444375_108121
SRR11041080.649481_649481_length=299	839__D5EWG8__PRU_2446
SRR11041080.650622_650622_length=301	2024224__A0A255TBT6__CIK98_13245
SRR11041080.654280_654280_length=152	839__D5ERU2__SAMN04488494_0665
SRR11041080.655922_655922_length=301	1761887__A0A1H8DA92__SAMN04487902_10674
SRR11041080.656541_656541_length=190	839__D5EUP5__PRU_2077
SRR11041080.657770_657770_length=301	839__D5ETC2__SAMN02745192_1995
SRR11041080.659398_659398_length=301	839__D5ERH0__SAMN04488493_102102
SRR11041080.660255_660255_length=218	81582__A0A1I0MBT0__SAMN04487850_0495
SRR11041080.662431_662431_length=207	839__D5ET16__SAMN05216462_2041
SRR11041080.663972_663972_length=300	839__D5EY48__SAMN02745192_1649
SRR11041080.666302_666302_length=300	839__D5ESX6__SAMN02745192_0768
SRR11041080.666826_666826_length=300	839__D5ERH6__PRU_0877
SRR11041080.667005_667005_length=300	839__D5EXA7__SAMN02745192_1816
SRR11041080.668485_668485_length=301	839__A0A1H6KGC0__SAMN05216462_0971
SRR11041080.669202_669202_length=301	839__A0A1H6KGC0__SAMN05216462_0971
SRR11041080.671563_671563_length=300	839__D5EWS3__SAMN05216462_2832
SRR11041080.673066_673066_length=301	839__A0A1H6LQE2__SAMN02745192_2074
SRR11041080.673165_673165_length=301	839__D5ET16__SAMN05216462_2041
SRR11041080.674300_674300_length=301	194326__A0A0R1S701__FC27_GL001885
SRR11041080.678440_678440_length=301	2024224__A0A255TBT6__CIK98_13245
SRR11041080.682546_682546_length=301	1747__E6D8B6__CHT92_09880
SRR11041080.684043_684043_length=301	839__D5EYX7__SAMN04488493_11926
SRR11041080.685551_685551_length=301	839__D5ESM4__SAMN04488493_102481
SRR11041080.688195_688195_length=200	1520830__A0A1K1PAU9__SAMN02910409_2359
SRR11041080.694443_694443_length=301	1520801__A0A1H4G147__SAMN02910384_03133
SRR11041080.695038_695038_length=293	839__A0A1H1AVU2__PRU_2307
SRR11041080.701155_701155_length=301	77095__D8DWZ5__PBR_2223
SRR11041080.701543_701543_length=206	81582__A0A1I0NG35__SAMN04487850_1224
SRR11041080.705619_705619_length=300	1265__W7UWW3__SAMN02910280_0217
SRR11041080.706812_706812_length=300	839__D5ETK7__SAMN04488493_10316
SRR11041080.709228_709228_length=301	1520830__A0A1K1PAU9__SAMN02910409_2359
SRR11041080.711571_711571_length=300	81582__A0A1I0MGR8__SAMN04487850_0591
SRR11041080.716286_716286_length=177	2024224__A0A255TBT6__CIK98_13245
SRR11041080.716564_716564_length=301	839__D5EU64__SAMN05216462_1638
SRR11041080.716904_716904_length=250	77095__D8DUP8__CIK91_06800
SRR11041080.720518_720518_length=301	1747__A0A3D8ZSD7__CHT94_04260
SRR11041080.721667_721667_length=301	839__A0A1H6K7I9__PRU_1098
SRR11041080.723063_723063_length=301	40214__D0SB30__RZ95_03430
SRR11041080.724745_724745_length=300	839__D5EXG6__PRU_2662
SRR11041080.725450_725450_length=300	1964352__A0A254RHD1__B7994_02930
SRR11041080.726586_726586_length=301	77095__A0A1H9BAV3__SAMN05216455_10548
SRR11041080.728020_728020_length=301	839__D5EWG8__PRU_2446
SRR11041080.729048_729048_length=298	77095__D8DTU9__hemC
SRR11041080.734076_734076_length=300	839__D5EY76__SAMN04488494_3066
SRR11041080.740660_740660_length=275	1526__A0A1I6JYK9__SAMN02910262_02064
SRR11041080.740723_740723_length=262	1945891__A0A1T5I755__SAMN06298215_0075
SRR11041080.741725_741725_length=301	1517682__A0A0A2EKD9__HW49_06430
SRR11041080.751285_751285_length=262	839__D5EX73__PRU_2567
SRR11041080.758444_758444_length=300	839__D5EUB5__PRU_1939
SRR11041080.762380_762380_length=301	1761887__A0A1H8CN22__SAMN04487902_105179
SRR11041080.769158_769158_length=300	1761887__A0A1H8DA92__SAMN04487902_10674
SRR11041080.771787_771787_length=301	77095__A0A1H9IG31__SAMN04487899_108104
SRR11041080.774110_774110_length=163	839__D5ETK7__SAMN04488493_10316
SRR11041080.774421_774421_length=300	1761888__A0A1H4APQ8__SAMN04487851_105115
SRR11041080.774518_774518_length=301	77095__D8E0N2__SAMN05216455_103129
SRR11041080.779430_779430_length=301	839__D5EWS3__SAMN05216462_2832
SRR11041080.780633_780633_length=301	839__D5ESK3__SAMN04488493_102459
SRR11041080.781098_781098_length=271	839__A0A1H6JEW0__SAMN04488494_3002
SRR11041080.781479_781479_length=300	77095__D8DZM3__PBR_0630
SRR11041080.781497_781497_length=301	1262743__R5C054__BN727_01980
SRR11041080.786896_786896_length=301	839__A0A1H6LHH9__SAMN04488494_1830
SRR11041080.789868_789868_length=301	1896224__A0A1M6U6Y6__SAMN05720487_103156
SRR11041080.791596_791596_length=301	839__D5EWG8__PRU_2446
SRR11041080.792047_792047_length=147	839__D5EYB8__SAMN02745192_2846
SRR11041080.792979_792979_length=301	839__D5ETH3__SAMN04488493_10351
SRR11041080.794937_794937_length=301	839__D5EZC0__SAMN04488493_10289
SRR11041080.796960_796960_length=265	81582__A0A1I0NB96__SAMN04487850_1111
SRR11041080.805173_805173_length=301	1761889__A0A1I5J1P1__SAMN04487852_104218
SRR11041080.806023_806023_length=300	163__A0A1H9JXI3__SAMN04487977_1185
SRR11041080.806067_806067_length=183	1165092__W3APD6__UYO_1257
SRR11041080.806126_806126_length=301	1964356__A0A254S3L1__B7990_14385
SRR11041080.807753_807753_length=301	1264__E6UDZ4__SAMN02910406_03446
SRR11041080.809951_809951_length=300	839__D5ERU3__SAMN02745192_1189
SRR11041080.810061_810061_length=301	1200747__A0A1G5V5X7__SAMN02910368_00384
SRR11041080.810869_810869_length=301	839__A0A1H6MI96__SAMN05216462_1370
SRR11041080.813115_813115_length=301	1855342__A0A1H4F3I2__SAMN05216349_1539
SRR11041080.814680_814680_length=291	77095__A0A1H9D4F2__SAMN04487899_10283
SRR11041080.816020_816020_length=282	77095__A0A1H8Z8R7__SAMN05444375_101291
SRR11041080.818588_818588_length=268	77095__D8DV17__CIK91_06710
SRR11041080.819133_819133_length=301	839__D5EU83__SAMN02745192_0306
#nreads	1627364
